,0
0,EUROPEAN
1,EUROPEAN
2,EUROPEAN
3,EUROPEAN
4,EUROPEAN
5,EUROPEAN
6,EUROPEAN
7,EUROPEAN
8,JAPANESE
9,JAPANESE
10,JAPANESE
11,EUROPEAN
12,EUROPEAN
13,EUROPEAN
14,EUROPEAN
15,EUROPEAN
16,EUROPEAN
17,EUROPEAN
18,EUROPEAN
19,EUROPEAN
20,JAPANESE
21,EUROPEAN
22,EUROPEAN
23,EUROPEAN
24,EUROPEAN
25,EUROPEAN
26,EUROPEAN
27,EUROPEAN
28,EUROPEAN
29,EUROPEAN
30,EUROPEAN
31,EUROPEAN
32,JAPANESE
33,EUROPEAN
34,JAPANESE
35,EUROPEAN
36,EUROPEAN
37,EUROPEAN
38,EUROPEAN
39,EUROPEAN
40,EUROPEAN
41,EUROPEAN
42,EUROPEAN
43,EUROPEAN
44,EUROPEAN
45,EUROPEAN
46,EUROPEAN
47,EUROPEAN
48,JAPANESE
49,EUROPEAN
50,EUROPEAN
51,EUROPEAN
52,EUROPEAN
53,EUROPEAN
54,EUROPEAN
55,JAPANESE
56,EUROPEAN
57,EUROPEAN
58,JAPANESE
59,EUROPEAN
60,JAPANESE
61,EUROPEAN
62,EUROPEAN
63,EUROPEAN
64,EUROPEAN
65,EUROPEAN
66,EUROPEAN
67,EUROPEAN
68,JAPANESE
69,EUROPEAN
70,EUROPEAN
71,EUROPEAN
72,JAPANESE
73,EUROPEAN
74,EUROPEAN
75,EUROPEAN
76,EUROPEAN
77,JAPANESE
78,EUROPEAN
79,EUROPEAN
80,EUROPEAN
81,EUROPEAN
82,EUROPEAN
83,EUROPEAN
84,JAPANESE
85,EUROPEAN
86,EUROPEAN
87,EUROPEAN
88,EUROPEAN
89,EUROPEAN
90,EUROPEAN
91,EUROPEAN
92,EUROPEAN
93,EUROPEAN
94,EUROPEAN
95,EUROPEAN
96,EUROPEAN
97,EUROPEAN
98,EUROPEAN
99,EUROPEAN
100,EUROPEAN
101,JAPANESE
102,EUROPEAN
103,EUROPEAN
104,EUROPEAN
105,EUROPEAN
106,JAPANESE
107,JAPANESE
108,EUROPEAN
109,EUROPEAN
110,EUROPEAN
111,EUROPEAN
112,EUROPEAN
113,EUROPEAN
114,EUROPEAN
115,JAPANESE
116,EUROPEAN
117,EUROPEAN
